time,lat,lon,depth,chla_acs
43583.17708,27.572624,-157.999876,6,0.080643
43583.17639,27.57587,-157.999932,6,0.080759
43583.17569,27.579112,-157.999906,6,0.080201
43583.175,27.582343,-157.999809,6,0.074906
43583.17431,27.585568,-157.999722,6,0.080851
43583.17361,27.588803,-157.999644,6,0.078843
43583.16597,27.624448,-158.000364,6,0.084234
43583.16528,27.627697,-158.000323,6,0.080589
43583.16458,27.630944,-158.000324,6,0.082609
43583.16389,27.63419,-158.000311,6,0.081821
43583.16319,27.637442,-158.000217,6,0.078904
43583.1625,27.640709,-158.000173,6,0.07703
43583.16181,27.643976,-158.000217,6,0.07695
43583.16111,27.647251,-158.000234,6,0.075355
43583.16042,27.650515,-158.000235,6,0.074851
43583.15972,27.653785,-158.000183,6,0.07933
43583.15903,27.657054,-158.00014,6,0.075412
43583.15833,27.660316,-158.000082,6,0.07783
43583.15764,27.663593,-158.000037,6,0.080236
43583.15694,27.666853,-157.999928,6,0.074411
43583.15625,27.670103,-157.999787,6,0.07529
43583.15556,27.673372,-157.999778,6,0.079369
43583.15486,27.676645,-157.999761,6,0.076618
43583.15417,27.679918,-157.999738,6,0.074644
43583.15347,27.683197,-157.999663,6,0.073861
43583.15278,27.686488,-157.999578,6,0.077481
43583.15208,27.689786,-157.999616,6,0.073387
43583.15139,27.693073,-157.999717,6,0.076791
43583.15069,27.696379,-157.999773,6,0.07735
43583.15,27.699683,-157.99981,6,0.077185
43583.14931,27.702983,-157.999867,6,0.073164
43583.14861,27.706283,-158.00003,6,0.073463
43583.14792,27.709578,-157.999971,6,0.072648
43583.14722,27.71287,-157.999905,6,0.074904
43583.14653,27.716167,-157.999791,6,0.076463
43583.14583,27.719456,-157.999752,6,0.07616
43583.14514,27.722753,-157.999794,6,0.074775
43583.14444,27.726055,-157.999789,6,0.075704
43583.14375,27.729374,-157.999721,6,0.077511
43583.14306,27.7327,-157.999679,6,0.072114
43583.14236,27.736018,-157.999623,6,0.072173
43583.14167,27.739324,-157.999579,6,0.073656
43583.14097,27.742628,-157.99961,6,0.07691
43583.14028,27.745923,-157.99968,6,0.077354
43583.13958,27.749208,-157.999753,6,0.074059
43583.13889,27.752481,-157.999808,6,0.078223
43583.13819,27.755751,-157.999824,6,0.077693
43583.1375,27.759012,-157.999951,6,0.078804
43583.13681,27.762282,-158.000028,6,0.08215
43583.13611,27.765555,-158.000091,6,0.079904
43583.13542,27.768828,-158.000129,6,0.079277
43583.13472,27.772109,-158.000106,6,0.080263
43583.13403,27.775378,-158.000042,6,0.082507
43583.13333,27.778651,-158.000048,6,0.077186
43583.13264,27.781911,-158.000071,6,0.077195
43583.13194,27.785173,-158.000081,6,0.08162
43583.12431,27.820834,-157.999938,6,0.076162
43583.12361,27.824067,-157.999908,6,0.081076
43583.12292,27.827289,-157.999932,6,0.081018
43583.12222,27.830511,-158.00003,6,0.078127
43583.12153,27.833732,-158.000099,6,0.081882
43583.12083,27.836961,-158.000124,6,0.081904
43583.12014,27.840198,-158.000011,6,0.081869
43583.11944,27.843416,-157.999894,6,0.083541
43583.11875,27.846616,-157.999757,6,0.077807
43583.11806,27.849816,-157.999624,6,0.080287
43583.11736,27.853023,-157.999602,6,0.080589
43583.11667,27.856243,-157.999553,6,0.082069
43583.11597,27.859459,-157.999441,6,0.082088
43583.11528,27.862682,-157.999367,6,0.078
43583.11458,27.865897,-157.999343,6,0.081305
43583.11389,27.869094,-157.999286,6,0.081702
43583.11319,27.872266,-157.999158,6,0.081689
43583.1125,27.875449,-157.999169,6,0.082008
43583.11181,27.878657,-157.999121,6,0.081767
43583.11111,27.881873,-157.999082,6,0.081721
43583.11042,27.885081,-157.99914,6,0.083719
43583.10972,27.888297,-157.999345,6,0.079404
43583.10903,27.891534,-157.999534,6,0.078961
43583.10833,27.894755,-157.999645,6,0.079117
43583.10764,27.898001,-157.999771,6,0.079137
43583.10694,27.901257,-157.999879,6,0.082775
43583.10625,27.904501,-158.000074,6,0.077381
43583.10556,27.907734,-158.000259,6,0.077236
43583.10486,27.910964,-158.000316,6,0.076883
43583.10417,27.914199,-158.000337,6,0.07792
43583.10347,27.917438,-158.000359,6,0.077139
43583.10278,27.920689,-158.000354,6,0.072659
43583.10208,27.923936,-158.000285,6,0.073092
43583.10139,27.927179,-158.00025,6,0.074062
43583.10069,27.930444,-158.00024,6,0.073736
43583.1,27.933717,-158.000304,6,0.075475
43583.09931,27.937005,-158.000293,6,0.071175
43583.09861,27.940296,-158.000279,6,0.072092
43583.09792,27.943568,-158.000249,6,0.071712
43583.09722,27.946841,-158.000215,6,0.073268
43583.09653,27.950115,-158.000212,6,0.076267
43583.09583,27.953401,-158.000232,6,0.077801
43583.09514,27.956703,-158.000261,6,0.077399
43583.09444,27.960002,-158.000255,6,0.073601
43583.09375,27.963307,-158.000347,6,0.069205
43583.09306,27.966622,-158.000412,6,0.068817
43583.09236,27.969926,-158.000354,6,0.073463
43583.09167,27.973222,-158.000254,6,0.074082
43583.09097,27.976514,-158.000152,6,0.078566
43583.09028,27.979795,-158.00011,6,0.072651
43583.08264,28.016379,-157.999748,6,0.082847
43583.08194,28.019699,-157.999778,6,0.082848
43583.08125,28.023006,-157.999779,6,0.078384
43583.08056,28.026296,-157.999797,6,0.081951
43583.07986,28.029602,-157.999893,6,0.079903
43583.07917,28.032901,-157.999844,6,0.076267
43583.07847,28.036219,-157.999794,6,0.07723
